Sweden,40-50,Male,Tabs,11+ years,Embedded application developer,Windows 7,,,Arduino / Raspberry Pi,,C,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,On-the-job training,,,,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Manufacturing,I love my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am not interested in other job opportunities,,,,,,,,,Work/life balance,,,,,,,,,,Somewhat important,Finding time to job search,,,,Writing my CV and keeping it updated,,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Hate,I don't have an account,Hate,I don't have an account,I don't have an account,Hate,Message is personalized,,,,,,,,,,,,Office location,,,,Great,Great,Great,Great,Great,,,,,,,,,Prepare me for who I will be speaking with,,,,,,,8,5-10 hours per week,Once a day,NotePad++,,Dark,,,,,,,,,,I don't use source control,,Git,,To get help for my job,,,,,,,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Sweden,40-50,Male,It depends,11+ years,Embedded application developer,Windows 8,,,Arduino / Raspberry Pi,,C,C++,,,,,,,,,,,,,,Java,,LAMP,,,,,,,,,,,,,,,,,SQL Server,,,,,,Android,Arduino / Raspberry Pi,,C,C++,,,,,,,,,,,,,,Java,,,,,Node.js,,,,Python,,,Ruby,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,Industry certification program,Some college coursework in Computer Science (or related field) but no degree,,,,,Rather not say,Rather not say,Employed full-time,Manufacturing,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,Yes,I am not interested in other job opportunities,,,Ability to make or influence important decisions,,,,,,,,,Office location,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,,Taking time off work to interview,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Hate,Tolerate,I don't have an account,Hate,Hate,Hate,Hate,,,Stack Overflow activity is mentioned,Team I would be working with isædescribed,,,,,,,,,Office location,,,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,,Be more flexible about interview scheduling,,,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,0,2-5 hours per week,Multipleætimes a day,Emacs,,I don't use an IDE,Git,,SVN,CVS,,,,,,,,Git,,To get help for my job,,,,,To communicate with others like me,,,,Usually,,My answer will help lots of people who have the same problem in the future,,,,I have no idea why I answer but I do it anyway,,"I don't answer much (or at all), but I want to answer more"
Sweden,40-50,Male,Spaces,11+ years,Embedded application developer,Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$40,000 - $60,000",50000,Employed full-time,Manufacturing,I love my job,I can buy anything I want without asking anyone,I rarely work remote,No,I am not interested in other job opportunities,,,Ability to make or influence important decisions,,,Tech stack,,,,,,,,Company culture,,,,,Somewhat important,Finding time to job search,,,,,Taking time off work to interview,,Rarely,,Tolerate,Tolerate,I don't have an account,Tolerate,Tolerate,Tolerate,Tolerate,,Code or projects I've worked on are referenced,,,,,,,,,,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Tolerate,Tolerate,,,,,,,,,,,It's a jobs site specificallyæfor programmers,,,,,4,5-10 hours per week,Once a week,Vim,,Light,,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,,,,,,,Usually,,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
Sweden,30-34,Male,Spaces,11+ years,Embedded application developer,Windows 7,,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,I have a discretionary budget at my disposal,Never,No,I am open to new job opportunities,,,Ability to make or influence important decisions,,Industry,,,,,,,Office location,,,,,,,Not important,Finding time to job search,,Searching for a job that seems interesting,,,Taking time off work to interview,,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Great,Tolerate,I don't have an account,I don't have an account,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,Salary,,Company name,,Office location,,,Details about the product or project I'd be working on,Great,Tolerate,Great,Great,Tolerate,,,,,Introduce me to the team,,Show me the space in which I will work,,,,It's a jobs site specificallyæfor programmers,,To showcase my Stack Overflow activity,Because the jobs ads are right there on Stack Overflow,,4,1-2 hours per week,Multipleætimes a day,NotePad++,,Light,,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,,To demonstrate that I'm good at what I do,To communicate with others like me,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,
Switzerland,20-24,Male,Spaces,2 - 5 years,Embedded application developer,Other Linux,,Android,,,,,,C#,,CoffeeScript,,,,,,,,,,Java,JavaScript,,,,Node.js,,,PHP,,,,Ruby,,,,,,,,,,,,,Android,Arduino / Raspberry Pi,,,,,C#,,CoffeeScript,,,,,,,,,,,,,,,Node.js,,,,,,,Ruby,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,Other,"$80,000 - $100,000",90000,Employed part-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,,,Ability to make or influence important decisions,,Industry,,,,Work/life balance,,,,,,,,,,Neutral - I don't mind working in the office or remotely,,,,,,Taking time off work to interview,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,Tolerate,Tolerate,Tolerate,Hate,Hate,Message is personalized,Code or projects I've worked on are referenced,,,Company culture is described,,,,,,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,Show meæmore live code,,,Introduce me to the boss,Introduce me to the team,,,,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,,,0,10-20 hours per week,Once a day,Sublime Text,,Dark,Git,,,,,TFS,,,,,,Git,,To get help for my job,To give help to others,,,,,To receive help onæmy personal projects,,,Usually,,My answer will help lots of people who have the same problem in the future,,Demonstrating my expertise will benefit me,,,,
Switzerland,25-29,,It depends,1 - 2 years,Embedded application developer,Windows 7,,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,"AutomationBasic, Structured Text",,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,"AutomationBasic, Structured Text",,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Manufacturing,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am not interested in other job opportunities,,,,,,,,,,Opportunity for advancement,,,Quality of colleagues,,,Building something that matters,,,Somewhat important,Finding time to job search,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Never,I wish more recruiters contacted me!,Great,I don't have an account,I don't have an account,Tolerate,I don't have an account,I don't have an account,I don't have an account,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,,,,Tech stack,Office location,,People I would be working with,,Tolerate,Tolerate,Great,Tolerate,Great,,,,Introduce me to the boss,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,3,2-5 hours per week,Once a week,NotePad++,,Light,Git,,SVN,,,,,,,,,Git,,,,Because I can't do my job without it,,,,,,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Switzerland,30-34,Male,Spaces,6 - 10 years,Embedded application developer,Other Linux,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,Python,,Redis,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed full-time,Manufacturing,I love my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,,Opportunity for advancement,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,,,Writing my CV and keeping it updated,Taking time off work to interview,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,Great,Hate,Great,Tolerate,I don't have an account,Message is personalized,,,,,Salary information is provided,,Stack Overflow Careers Company Page is linked,,,,,Office location,,,Details about the product or project I'd be working on,,,Great,Great,,,,,Introduce me to the boss,Introduce me to the team,,,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,,,0,10-20 hours per week,Once a day,Sublime Text,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,To receive help onæmy personal projects,Because I love to learn,,Always,,My answer will help lots of people who have the same problem in the future,,,,,,
United Kingdom,30-34,Male,Tabs,2 - 5 years,Embedded application developer,Windows 7,,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,Rather not say,Rather not say,Employed full-time,Manufacturing,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,Office location,,,,,,,Not important,,Finding an open job that I'm qualified for,,,,Taking time off work to interview,The interview process,Several times a day,"Please, make the recruiter spamŒæstop",Tolerate,Tolerate,I don't have an account,Hate,I don't have an account,I don't have an account,I don't have an account,Message is personalized,,,,Company culture is described,,,,,,,,,Job title,,,Tolerate,Great,Great,Great,Great,Show meæmore live code,,,,,,,,,,,,,,,5,1-2 hours per week,Once a day,NotePad++,,Light,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United Kingdom,30-34,Male,Spaces,6 - 10 years,Embedded application developer,Ubuntu,,,,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,,,,,C,C++,C++11,C#,,,,,,,,,,,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$60,000 - $80,000",70000,Employed full-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,I rarely work remote,Yes,I am not interested in other job opportunities,Salary,,,,,,,,,,,,,Company culture,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,,,,Writing my CV and keeping it updated,Taking time off work to interview,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Great,,I don't have an account,Tolerate,,Code or projects I've worked on are referenced,,,Company culture is described,Salary information is provided,,,Salary,,,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,,Offer remote interviews (ie. via video conference),,Introduce me to the team,,,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,,,,,2,2-5 hours per week,Once a day,Vim,,Dark,Git,,SVN,,,,,,Legacy / Custom,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,"I don't answer much (or at all), but I want to answer more"
United Kingdom,25-29,Male,Spaces,1 - 2 years,Embedded application developer,Windows 7,,,,,,,,C#,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,Visual Basic,,,HTML,,Arduino / Raspberry Pi,AngularJS,,,,C#,,,Cordova,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,"HTML, JQuery",,,,,,,,,Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,,,,,,,,,,,,Office location,Quality of colleagues,Company culture,,,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,,,Interesting companies rarely respond,,Taking time off work to interview,,About once a week,I wish more recruiters contacted me!,Great,Great,I don't have an account,Tolerate,Great,I don't have an account,I don't have an account,,,,Team I would be working with isædescribed,Company culture is described,,,,,,Company name,,,,,Details about the product or project I'd be working on,Great,Tolerate,Tolerate,Great,Great,,,,Introduce me to the boss,Introduce me to the team,,,,,,,,,,,6,20+ hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,SVN,,,,,,,,StarTeam,Git,,To get help for my job,,Because I can't do my job without it,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United Kingdom,35-39,Male,Tabs,11+ years,Embedded application developer,Debian,,,,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"More than $160,000",170000,Employed full-time,Manufacturing,I love my job,I have a discretionary budget at my disposal,I rarely work remote,No,I am not interested in other job opportunities,,,Ability to make or influence important decisions,,,Tech stack,,,,,,,Quality of colleagues,,,,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Hate,I don't have an account,I don't have an account,I don't have an account,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,,,,,,Company name,,,,People I would be working with,,Hate,Hate,Great,Great,Great,Show meæmore live code,,,,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,4,1-2 hours per week,Once a week,Emacs,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,,Because I can't do my job without it,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United Kingdom,25-29,Male,Tabs,2 - 5 years,Embedded application developer,Windows 7,,,,,C,C++,,,,,,,,,,,,,,,JavaScript,,,,,,Perl,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,Manufacturing,I love my job,I can recommend or request products,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,,Remote working options,,Very important,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,I don't have an account,Tolerate,Great,Hate,Hate,Message is personalized,Code or projects I've worked on are referenced,,,,,Benefits / perks of the work environment are described,,,,,,,,,Details about the product or project I'd be working on,Hate,Great,Great,Great,Great,Show meæmore live code,,,,,,,Fewer brainteasers,,,,,,Because the jobs ads are right there on Stack Overflow,,2,2-5 hours per week,Multipleætimes a day,NotePad++,,Light,,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,,,,,,,Usually,It feels good to help a programmer in need,,,,I feel a sense of responsibility to the developer community,,,
United States,51-60,Male,Tabs,11+ years,Embedded application developer,Windows 7,,Android,,,C,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swift,,,,,No formal training; I'm self-taught,On-the-job training,"Intensive code ""boot-camp"" or night school","Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$80,000 - $100,000",90000,Employed full-time,Manufacturing,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",Never,No,I am open to new job opportunities,,,Ability to make or influence important decisions,,,,,,,,,Office location,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,Hate,Great,Tolerate,Hate,Hate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,,,,Salary,,,,Office location,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Great,Great,Great,Great,,,,Introduce me to the boss,,,,Fewer brainteasers,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,,,Because the jobs ads are right there on Stack Overflow,,2,5-10 hours per week,Multipleætimes a day,,UltraEdit,Dark,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Always,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United States,25-29,Male,Tabs,6 - 10 years,Embedded application developer,Debian,,,,,C,C++,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,,,,,,,,,,,,,Visual Basic,,,,,,,C,C++,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,Visual Basic,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,Other,"$80,000 - $100,000",90000,Employed full-time,Manufacturing,I love my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,,Opportunity for advancement,,,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,Taking time off work to interview,,A few times a week,I wish more recruiters contacted me!,Great,Great,I don't have an account,Hate,Great,Hate,Tolerate,,Code or projects I've worked on are referenced,Stack Overflow activity is mentioned,,,Salary information is provided,,,Salary,,,,,,,,Great,Tolerate,Great,Great,Tolerate,Show meæmore live code,,,,,,,Fewer brainteasers,,No spam from recruiters,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,,,7,10-20 hours per week,Once a day,NotePad++,,Light,Git,Mercurial,SVN,,,,,,,,,SVN,,,To give help to others,,,,To communicate with others like me,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
United States,51-60,Male,Tabs,11+ years,Embedded application developer,Windows Vista,,,,,C,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,,,,,,,,,,,C,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Manufacturing,I love my job,I have a discretionary budget at my disposal,I rarely work remote,No,I am not interested in other job opportunities,,,,,,,Company size,Company stage,,,,Office location,,,,,,,Not important,,,,,,,,Rarely,"Please, make the recruiter spamŒæstop",Hate,Hate,I don't have an account,Hate,I don't have an account,Hate,Hate,,,,,,,,,,,,,,,,,Hate,Hate,Hate,Hate,Hate,,,,,,,,,,,,,,,,0,None,Once a week,,CodeWarrior,,,,,,,,,,,I don't use source control,,,,To get help for my job,,Because I can't do my job without it,,,,,,,Usually,,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
United States,35-39,Male,It depends,11+ years,Embedded application developer,Mac OS X,,,Arduino / Raspberry Pi,,C,,C++11,,,,,,,,,,,,,,,LAMP,Matlab,,,,,,,,,,,,,,,,,Swift,,,,,,Arduino / Raspberry Pi,,,,C++11,,,CoffeeScript,,,,,,,,,,,,LAMP,Matlab,,Node.js,Objective-C,,,,,,,,,,,,,,Swift,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,Rather not say,Rather not say,Employed full-time,Manufacturing,I love my job,I have a discretionary budget at my disposal,I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,Company size,,,,,,,,,Building something that matters,,,Somewhat important,Finding time to job search,,Searching for a job that seems interesting,Interesting companies rarely respond,,,,Never,,Great,Hate,I don't have an account,Great,Great,I don't have an account,Tolerate,,,,,,,,,,Benefits,,,,,,Details about the product or project I'd be working on,Hate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,,,Show me the space in which I will work,Fewer brainteasers,,,,,,Because the jobs ads are right there on Stack Overflow,,2,5-10 hours per week,Once a day,,textmate,Light,Git,Mercurial,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,To demonstrate that I'm good at what I do,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,I feel a sense of responsibility to the developer community,,,
United States,20-24,Male,Tabs,2 - 5 years,Embedded application developer,Ubuntu,,Android,,,C,C++,,,,,,,,,,,Hadoop,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,Visual Basic,,,,Android,Arduino / Raspberry Pi,,,,C++11,,,,,,,,,,Hadoop,Haskell,,Java,JavaScript,,,,Node.js,,,,Python,R,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Manufacturing,I love my job,I can recommend or request products,I rarely work remote,Yes,I am not interested in other job opportunities,,,,,,,,,Work/life balance,,,,,Company culture,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,,,,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Hate,Tolerate,I don't have an account,Hate,Message is personalized,,,,Company culture is described,,Benefits / perks of the work environment are described,,,Benefits,,,Office location,,,Details about the product or project I'd be working on,Hate,Hate,Tolerate,Great,Great,,,,,Introduce me to the team,,Show me the space in which I will work,,,,,,,,,1,5-10 hours per week,Multipleætimes a day,Vim,,Dark,Git,,SVN,,,,,,,,,Git,,,,,,,,,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United States,35-39,Male,Spaces,11+ years,Embedded application developer,Windows 7,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,,,Employed full-time,Manufacturing,I love my job,I have a discretionary budget at my disposal,Never,No,I am not interested in other job opportunities,,,Ability to make or influence important decisions,,,,,,Work/life balance,,,,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,,,,,,,Rarely,"Please, make the recruiter spamŒæstop",Hate,I don't have an account,I don't have an account,Hate,Tolerate,I don't have an account,I don't have an account,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,,,,,,,People I would be working with,Details about the product or project I'd be working on,Hate,Hate,Tolerate,Tolerate,Tolerate,,,,,Introduce me to the team,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,Other,0,None,Multipleætimes a day,,SlickEdit,I don't use an IDE,,,,,,,,,,,ClearCase,,,,,,,,,,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United States,30-34,Male,Spaces,6 - 10 years,Embedded application developer,Other Linux,,Android,Arduino / Raspberry Pi,,C,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,Android,Arduino / Raspberry Pi,,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$100,000 - $120,000",110000,Employed full-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",Never,No,I am open to new job opportunities,,,,,,,,,Work/life balance,,,Office location,,,,,,Flexible work hours,Somewhat important,,,,,,Taking time off work to interview,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Hate,Great,Hate,I don't have an account,,,,Team I would be working with isædescribed,Company culture is described,,Benefits / perks of the work environment are described,,,Benefits,,,Office location,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,,,Introduce me to the boss,Introduce me to the team,,,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,,,0,2-5 hours per week,Multipleætimes a day,Vim,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,Because I can't do my job without it,To maintain an online presence,To demonstrate that I'm good at what I do,To communicate with others like me,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,I feel a sense of responsibility to the developer community,,,
United States,25-29,Male,It depends,6 - 10 years,Embedded application developer,Windows 7,,,Arduino / Raspberry Pi,,C,C++,,,,,,,,,,,,,,,JavaScript,,Matlab,,,,,,Python,,,,,,,,,,,,,,,,Android,Arduino / Raspberry Pi,,C,C++,C++11,,,,,,,,,,,,,Java,JavaScript,,Matlab,,,Objective-C,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$20,000 - $40,000",30000,Employed full-time,Manufacturing,I love my job,I have a discretionary budget at my disposal,Part-time Remote,Yes,I am open to new job opportunities,,,Ability to make or influence important decisions,,,,,,,Opportunity for advancement,,,,,,,,Flexible work hours,Somewhat important,Finding time to job search,,,,,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,I don't have an account,Tolerate,I don't have an account,I don't have an account,Hate,,,,,Company culture is described,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,,,,Job title,,Details about the product or project I'd be working on,Tolerate,Great,Great,Tolerate,Tolerate,Show meæmore live code,,Offer remote interviews (ie. via video conference),,,,Show me the space in which I will work,,,,,,,,,2,2-5 hours per week,Multipleætimes a day,atom.io,,Dark,Git,,,,,,,,,,Bitbucket,,Bitbucket,To get help for my job,To give help to others,,To maintain an online presence,To demonstrate that I'm good at what I do,To communicate with others like me,To receive help onæmy personal projects,Because I love to learn,,Sometimes,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,,,"I don't answer much (or at all), but I want to answer more"
