What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
Other Europe,,30-34,11,Software Products,3001,Enterprise Level Services,100,4/8/2013,System Administrators,,,Testers / Quality Assurance,Technical Support,,,,,,,,,,,,No mobile app,,,,,,,,Other,20+ hours,,2-5 hours,2-5 hours,5-10 hours,5-10 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,,,,"<$1,000",,C++,,Java,,,,,,,,,,,,Haskell,,,,C++11,,,,,,Linux,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Don't Care,Not Very Important,Don't Care,Don't Care,Don't Care,Very Important,Don't Care,Somewhat Important,Somewhat Important,No,I enjoy going to work,"$100,000 - $120,000",,,,,,,,,,,,,Wii,,"$501-$1,000",Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,20-24,<2,Web Services,26-100,Full-Stack Web Developer,31-50,4/8/2013,,Designers,,Testers / Quality Assurance,,,,Customers,,,,,,,,,,,,,,,,,,5-10 hours,2-5 hours,1-2 hours,2-5 hours,1-2 hours,2-5 hours,1-2 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,,,Other,Don't know,C,C++,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,,,CoffeeScript,,,,,,,,,Linux,Somewhat Important,Not Very Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Non-Negotiable,,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,,Somewhat Important,Somewhat Important,No,Love my job,"<$20,000",,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Strongly Agree,Disagree,Strongly Disagree,"Amazon webservices, carrer 2.0, windows8",200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,25-29,6/10/2013,Software Products,"1,000-3,000",Full-Stack Web Developer,100,4/8/2013,,Designers,,Testers / Quality Assurance,,,,Customers,,,,,,,,,,,,Direct sales to companies,,,Consulting,,,20+ hours,2-5 hours,2-5 hours,,2-5 hours,1-2 hours,10-20 hours,10-20 hours,,,,,,No Involvement,,,,,,,,,,,C#,,JavaScript,jQuery,,,,PHP,,,,,Node.js,,,,,,WinRT,,,,,Windows 7,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Don't Care,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Very Important,No,I enjoy going to work,Rather not say,,,,Windows Phone,,,,,,,,,,,$251-$500,,Disagree,,Agree,Disagree,,microsoft windows,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Russia,,20-24,2/5/2013,Software Products,26-100,Full-Stack Web Developer,6/15/2013,4/8/2013,,Designers,Product Managers,,,,,,,,iPhone,,Android phone,,,,,Advertising,Direct sales to consumers,,Software as a service / recurring billing,,,,Other,10-20 hours,2-5 hours,1-2 hours,1-2 hours,None,2-5 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,,,,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,,,CoffeeScript,,,,WinRT,,,,,Linux,Not Very Important,Not Very Important,Somewhat Important,Very Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Don't Care,Somewhat Important,,Very Important,Very Important,Somewhat Important,Somewhat Important,Yes,I enjoy going to work,"$40,000 - $60,000",,Android,,,,,,,,,,,,,"$501-$1,000",Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,,500,Read other people's questions to solve my problems,,,_from time to time_ I answer other people's questions
Other Europe,,20-24,6/10/2013,Foundation / Non-Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,20-24,2/5/2013,Software Products,1/25/2013,Desktop Software Developer,6/15/2013,1/3/2013,,,Product Managers,Testers / Quality Assurance,,,,,Finance,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,5-10 hours,1-2 hours,5-10 hours,None,2-5 hours,1-2 hours,2-5 hours,None,I can recommend or request products,,,,,,,,,,,,Other,Don't know,,,C#,,,,,,,,,,SQL,"VB.NET, MDX",,,,,,,,,,F#,,Windows 7,Somewhat Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,No,It's a paycheck,"$20,000 - $40,000",,,,,,,,,Kindle,,,Xbox,Wii,,"$501-$1,000",Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Mostly other Stack Exchange sites like Careers.StackOverflow,2000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Asia,,25-29,<2,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,20-24,2/5/2013,Software Products,1/25/2013,Back-End Web Developer,6/15/2013,1/3/2013,System Administrators,Designers,,Testers / Quality Assurance,,,Consultants,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,Software as a service / recurring billing,,,,,10-20 hours,5-10 hours,5-10 hours,2-5 hours,2-5 hours,1-2 hours,5-10 hours,10-20 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,,,,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,,,,,,PhoneGap,Windows 7,,,,,,,,,,,,,,,,,Yes,I enjoy going to work,"$20,000 - $40,000",iPhone,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,20-24,2/5/2013,Software Products,101-999,Desktop Software Developer,6/15/2013,4/8/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,,Consultants,,,Human Resources,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,,Consulting,,Other,5-10 hours,2-5 hours,5-10 hours,2-5 hours,1-2 hours,2-5 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,,,Other,Don't know,C,C++,C#,Java,JavaScript,jQuery,,,,,,,SQL,Delphi,,,CoffeeScript,,,C++11,,,,,,Windows 7,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Somewhat Important,Don't Care,Don't Care,Yes,I enjoy going to work,"$20,000 - $40,000",,Android,,,,,,,,,,,,,"$501-$1,000",Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Mostly for the Careers 2.0,200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United Kingdom,,51-60,11,Finance / Banking,1/25/2013,Desktop Software Developer,1/5/2013,1/3/2013,System Administrators,,,Testers / Quality Assurance,Technical Support,Sales / Marketing,,,,,,,,,,,No mobile app,,,,,,,,Other,5-10 hours,1-2 hours,,2-5 hours,1-2 hours,2-5 hours,2-5 hours,None,I can recommend or request products,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$10,001 - $25,000",,,,,JavaScript,,,,,,,,SQL,Delphi,,,,,,,,,,,,Windows 7,Somewhat Important,Don't Care,Non-Negotiable,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Non-Negotiable,Don't Care,Very Important,Somewhat Important,Somewhat Important,No,Love my job,Rather not say,,Android,,,,Android Tablet,,,,,,,,Sony Reader,"$1,001-$2,000",Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,None - my brain now filters out web adverts automagicaly,500,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,30-34,6/10/2013,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,,< 20,<2,Software Products,1/25/2013,Full-Stack Web Developer,6/15/2013,4/8/2013,System Administrators,,,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,10-20 hours,2-5 hours,5-10 hours,1-2 hours,None,10-20 hours,10-20 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,Other,Don't know,,,C#,,,,,,,,,,,,,,,,TypeScript,,WinRT,,,F#,,Windows 8,Don't Care,Don't Care,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,No,Love my job,Rather not say,,Android,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Agree,Agree,Agree,Neutral,Xamarin  Telerik  Windows Azure,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Asia,,20-24,2/5/2013,Education,101-999,Mobile Application Developer,31-50,Just me!,,,Product Managers,,Technical Support,,,,,,,,Android phone,,,,,,,,,,Consulting,,,5-10 hours,None,20+ hours,1-2 hours,1-2 hours,1-2 hours,20+ hours,None,,,,,,No Involvement,,,,,,,,,C,,,Java,,,,,,,,,,,,Haskell,,Dart,,,,Redis,,,,Linux,,,,Very Important,,Non-Negotiable,,,,,,,,,Very Important,,No,I wish I had a job!,Student / Unemployed,,Android,,,,,,,,,,,,,<$100,,,,,,,,,,,,
South America,,25-29,6/10/2013,Software Products,26-100,Full-Stack Web Developer,50-100,15,System Administrators,,,,,,,,,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,,,,20+ hours,2-5 hours,5-10 hours,2-5 hours,1-2 hours,2-5 hours,1-2 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,C#,,JavaScript,,,,,,,,SQL,,,,,,TypeScript,,,,,,,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,40-50,11,Web Services,1/25/2013,Full-Stack Web Developer,6/15/2013,9/15/2013,System Administrators,,Product Managers,,,,,,,,,,,Android tablet,,,,,,,Software as a service / recurring billing,,,,,10-20 hours,1-2 hours,2-5 hours,,1-2 hours,2-5 hours,5-10 hours,5-10 hours,I can recommend or request products,,,,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,,,Java,,,,,,,,Ruby,,,,,,,,,,,,,,Linux,Very Important,Not Very Important,Somewhat Important,Very Important,Non-Negotiable,Not Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Don't Care,Somewhat Important,Somewhat Important,Very Important,Very Important,Yes,Love my job,"$60,000 - $80,000",,,,,,Android Tablet,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,500,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,25-29,2/5/2013,Finance / Banking,101-999,Manager of Developers or Team Leader,6/15/2013,4/8/2013,System Administrators,,,Testers / Quality Assurance,Technical Support,,,Customers,,,,,Android phone,,,,,,,,,,,,Other,2-5 hours,2-5 hours,2-5 hours,1-2 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,Java,,,,,,,,,,,,,,,,,,,MongoDB,,,Windows XP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,20-24,6/10/2013,Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,40-50,11,Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,25-29,2/5/2013,Software Products,26-100,Mobile Application Developer,6/15/2013,4/8/2013,,Designers,Product Managers,,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,,,,,,20+ hours,2-5 hours,10-20 hours,1-2 hours,1-2 hours,2-5 hours,1-2 hours,1-2 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,,,,"$1,001 - $5,000",,,C#,,,,,,Objective-C,,,,,,,,,,,,,,,,,Mac OS X,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Not Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,No,Love my job,"<$20,000",iPhone,,,,iPad,,,,,,,,,,"$1,001-$2,000",Agree,Agree,Neutral,Agree,Disagree,Neutral,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,40-50,11,Consulting,1/25/2013,Full-Stack Web Developer,1/5/2013,Just me!,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,,,,,,,No mobile app,Advertising,,,,,,,,10-20 hours,10-20 hours,2-5 hours,None,None,2-5 hours,2-5 hours,None,I can recommend or request products,,I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$1,001 - $5,000",,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,Go,,,CoffeeScript,,,,,,,,,Mac OS X,Very Important,Not Very Important,Very Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Non-Negotiable,,Non-Negotiable,Somewhat Important,Not Very Important,Not Very Important,Very Important,Very Important,Somewhat Important,No,It's a paycheck,"$100,000 - $120,000",,Android,,,iPad,,,,Kindle,,PS3,Xbox,Wii,,"$1,001-$2,000",Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,None,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,20-24,<2,Web Services,1/25/2013,Full-Stack Web Developer,1/5/2013,1/3/2013,System Administrators,Designers,,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,Advertising,,,,,,,,20+ hours,5-10 hours,2-5 hours,None,1-2 hours,20+ hours,20+ hours,5-10 hours,,,,I can buy anything I want without asking anyone,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",,,,,,jQuery,,,,PHP,,,,,,,,,,,,,,,,Windows 8,Very Important,Not Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Non-Negotiable,Not Very Important,Don't Care,Don't Care,No,Love my job,"<$20,000",,Android,,,,,,,,,,,,Nokia Symbian,"$501-$1,000",Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Careers 2.0 by stackoverflow itself,50,Read other people's questions to solve my problems,Ask questions to solve problems,,
India,,25-29,2/5/2013,Web Services,26-100,Full-Stack Web Developer,50-100,1/3/2013,,Designers,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,,,1-2 hours,1-2 hours,2-5 hours,None,1-2 hours,1-2 hours,1-2 hours,1-2 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,,,,,Don't know,C,C++,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Node.js,,,,,,,,MongoDB,,PhoneGap,Mac OS X,Not Very Important,Non-Negotiable,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Not Very Important,Somewhat Important,Not Very Important,Non-Negotiable,Don't Care,Non-Negotiable,Not Very Important,Somewhat Important,Somewhat Important,No,I enjoy going to work,"<$20,000",,Android,,,,,,,,,,,,,<$100,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,,200,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United States of America,Arkansas,20-24,2/5/2013,Web Services,1/25/2013,Student,1/5/2013,Just me!,,Designers,,,,,Consultants,,,,,,,,,,No mobile app,Advertising,,Direct sales to companies,,,,,Other,10-20 hours,1-2 hours,5-10 hours,None,None,5-10 hours,10-20 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,,C++,,Java,JavaScript,jQuery,,,,PHP,,,,,,,,,,,,,,,,Windows 7,Very Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Not Very Important,Somewhat Important,Very Important,Not Very Important,Don't Care,Very Important,Not Very Important,Very Important,Very Important,Yes,I enjoy going to work,"<$20,000",iPhone,,,,,Android Tablet,,,,,,Xbox,,,$100-$250,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,,
Other Europe,,20-24,2/5/2013,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,6/10/2013,Web Services,1/25/2013,Front-End Web Developer,1/5/2013,1/3/2013,,Designers,,,,,,,,,,,,,,,,,Direct sales to consumers,Direct sales to companies,,,,,,20+ hours,20+ hours,10-20 hours,None,1-2 hours,10-20 hours,10-20 hours,10-20 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,"<$1,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Node.js,,,,,,,,,,,Windows 7,Not Very Important,Not Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Don't Care,Don't Care,Don't Care,Yes,Love my job,"$20,000 - $40,000",,,,,,,,,,,,,,,"$1,001-$2,000",Agree,Neutral,Neutral,Disagree,Disagree,Neutral,squarespace?,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Middle East,,25-29,2/5/2013,Software Products,101-999,Back-End Web Developer,100,4/8/2013,System Administrators,Designers,,Testers / Quality Assurance,Technical Support,,Consultants,Customers,,Human Resources,iPhone,iPad,Android phone,Android tablet,,,,,Direct sales to consumers,Direct sales to companies,,Mobile app sales,,,,2-5 hours,1-2 hours,1-2 hours,,,2-5 hours,1-2 hours,,,,,,,No Involvement,,,,,,,,,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,,,,,,PhoneGap,Windows 7,,,,,Non-Negotiable,Non-Negotiable,Somewhat Important,Somewhat Important,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,,Very Important,Not Very Important,Yes,I enjoy going to work,"<$20,000",,,,,,,,,,,,,,,"$501-$1,000",Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,"Adobe's products,build for the new windows store, windows 8",100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,rate up or down accordingly
South America,,25-29,6/10/2013,Software Products,"1,000-3,000",Back-End Web Developer,100,15,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,,Consultants,Customers,,,iPhone,,Android phone,,,,,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,5-10 hours,5-10 hours,2-5 hours,None,2-5 hours,2-5 hours,2-5 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,,,,Java,,,,,Objective-C,,,,SQL,,,Haskell,,,,,,,,,,Mac OS X,Very Important,Somewhat Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Very Important,Not Very Important,Non-Negotiable,Not Very Important,Yes,I enjoy going to work,"$20,000 - $40,000",iPhone,Android,,,iPad,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,,1,Read other people's questions to solve my problems,,Answer questions I know the answer to,
India,,30-34,6/10/2013,Software Products,101-999,Full-Stack Web Developer,31-50,1/3/2013,,,Product Managers,,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,Software as a service / recurring billing,,,,,20+ hours,5-10 hours,5-10 hours,1-2 hours,2-5 hours,10-20 hours,5-10 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,,,,,,,,,,,F#,PhoneGap,Windows XP,Very Important,,Somewhat Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Non-Negotiable,Somewhat Important,No,I'm not happy in my job,"$20,000 - $40,000",,Android,,,,,,,,,,,,,"$1,001-$2,000",Agree,Neutral,Agree,Agree,Disagree,Disagree,"Visual Studio, Windows 8, telerik",100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
France,,25-29,11,Other,1/25/2013,Other,1/5/2013,1/3/2013,,,,,,,,,,,,,,,,,No mobile app,,,,Software as a service / recurring billing,,,,,10-20 hours,2-5 hours,1-2 hours,1-2 hours,1-2 hours,2-5 hours,2-5 hours,1-2 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,C,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,,,CoffeeScript,,,,,Redis,MongoDB,,,Mac OS X,Not Very Important,Not Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Not Very Important,Not Very Important,Somewhat Important,Somewhat Important,Not Very Important,Very Important,No,I enjoy going to work,"$20,000 - $40,000",iPhone,,,,iPad,,,,,,PS3,,Wii,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Even without any adblocker I developed a sixth sense to ignore most ads on the websites I visit (I don't have an ad blocker on all my browsers).,1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
India,,20-24,<2,Web Services,26-100,Full-Stack Web Developer,16-30,4/8/2013,,Designers,,,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,,,,20+ hours,5-10 hours,5-10 hours,2-5 hours,1-2 hours,2-5 hours,2-5 hours,1-2 hours,I can recommend or request products,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,,,,JavaScript,,,,,,,Ruby,,CoffeeScript,Node.js,,,,,,,Redis,MongoDB,,PhoneGap,Linux,Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,No,Love my job,,,Android,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,,
